Ciudad,Estado_Geo,Anio,Mes,Lat,Lon
Coyoacán,Ciudad de México,2025,11,19.307140118847364,-99.01289044864654
El Limón,Jalisco,2025,12,21.11021430640992,-103.14532023190078
Benito Juárez,Ciudad de México,2025,8,19.664593941811408,-99.4202358384911
Santa Catarina,Nuevo León,2025,11,25.690858484197037,-100.35982852441323
Chimalhuacán,México,2025,10,19.011318640442436,-100.14115533433211
Tequisquiapan,Querétaro,2025,10,23.255994520336206,-102.6494124411934
Cuauhtémoc,Ciudad de México,2025,10,18.9906836121682,-99.04328231314537
Guadalajara,Jalisco,2025,9,21.025676145774938,-103.45715595490027
Morelia,Michoacán,2025,12,19.66761501174321,-101.76932507797628
Mérida,Yucatán,2025,9,23.808072577796047,-102.09584130550626
Guadalupe,Nuevo León,2025,10,25.112784494295802,-100.1479445329767
Guadalupe,Nuevo León,2026,1,26.062109852161992,-99.98221051084019
Zapotlán El Grande,Jalisco,2025,10,20.991942640800424,-103.06574698725886
Torreón,Coahuila De Zaragoza,2025,12,23.312339110678277,-102.60345721767872
Mexicali,Baja California,2025,8,30.522424967207098,-115.16171329977213
Mazatlán,Sinaloa,2025,11,23.283404509853437,-102.13763629125326
Mazatlán,Sinaloa,2025,8,23.40424224295954,-102.05047937634235
Dolores Hidalgo Cuna De La Independencia Nacional,Guanajuato,2025,12,21.043756431632236,-101.61032651907097
Tizayuca,Hidalgo,2025,9,23.531945018642116,-102.07341237483851
Tala,Jalisco,2025,11,20.450729140198042,-103.35728370692047
Morelia,Michoacán,2025,11,19.67835289472238,-101.94855561170104
Guadalajara,Jalisco,2025,10,20.298993860652043,-103.39026424376173
Morelia,Michoacán,2025,11,19.35864464853522,-101.22676742471452
Tianguistenco,México,2025,12,19.221661843293692,-99.66308190600712
Tonalá,Jalisco,2025,12,20.615569984217036,-103.52064838971249
Matamoros,Tamaulipas,2025,12,23.885175961393013,-102.36659914568327
Tecámac,México,2025,10,19.05497378215836,-99.91555438122181
Tlajomulco De Zúñiga,Jalisco,2025,12,20.673734438413614,-103.77353667189134
El Limón,Jalisco,2025,10,20.751914568862045,-103.72052027808935
El Salto,Jalisco,2025,8,20.20595041272,-103.72135416104223
Tijuana,Baja California,2025,11,30.948144851901436,-115.6318973064877
Bahía De Banderas,Nayarit,2025,8,23.27052412368729,-102.86117282735059
Tarímbaro,Michoacán,2025,10,19.131551592985282,-101.56592525519679
Guadalupe,Nuevo León,2025,9,26.04108553725333,-100.31431991560086
Zacapu,Michoacán,2025,9,20.03213203307456,-101.86113271667614
Uruapan,Michoacán,2025,11,19.874897348116463,-101.31001159009399
Aguascalientes,Aguascalientes,2025,12,23.404613769173373,-102.52603835973713
Progreso De Obregón,Hidalgo,2025,10,23.197672114006384,-102.33244226147897
Valle Hermoso,Tamaulipas,2025,12,23.784233026512158,-102.82768012879836
Tonalá,Jalisco,2025,8,20.5996524937396,-103.65711098119134
Hermosillo,Sonora,2025,10,23.22203823484478,-102.95913138373352
Iztacalco,Ciudad de México,2026,1,19.42777691011127,-99.46426493692783
Coacalco De Berriozábal,México,2025,9,18.889688521115218,-99.87710966096803
Mixquiahuala De Juárez,Hidalgo,2025,11,24.009320402078785,-102.82298951572325
Tijuana,Baja California,2025,10,30.599379981600016,-115.69509746624294
Morelia,Michoacán,2025,11,19.729022284353984,-102.0861641288994
Zitácuaro,Michoacán,2025,12,19.37821107608941,-101.74602123196728
Pachuca De Soto,Hidalgo,2025,11,23.62006802117781,-102.79366628159421
Gustavo A. Madero,Ciudad de México,2025,8,19.47931027934328,-99.26893013895193
Guadalajara,Jalisco,2025,12,20.34435445552553,-103.34598272914515
San Luis Potosí,San Luis Potosí,2025,11,24.06958462776456,-102.30960517137063
Chicoloapan,México,2025,12,19.630432823361115,-100.1163878601589
Azcapotzalco,Ciudad de México,2025,8,19.87209894156419,-98.83378960109096
Venustiano Carranza,Ciudad de México,2025,8,19.827427350427648,-99.0052996105091
San Luis Potosí,San Luis Potosí,2025,11,23.697899978811087,-102.91824096805112
Chimalhuacán,México,2025,9,19.777174235023118,-99.28212137589321
Mexicali,Baja California,2025,9,30.42909250205192,-114.86292759946818
Chihuahua,Chihuahua,2025,11,23.295982862419148,-102.93892204014513
Morelia,Michoacán,2025,12,19.11172728891054,-101.9299223518528
Tuxtla Gutiérrez,Chiapas,2025,12,23.425330330763266,-102.19379872020694
La Magdalena Tlaltelulco,Tlaxcala,2025,8,23.488677289689484,-102.25174030961634
Zapopan,Jalisco,2025,12,20.430849031773896,-103.66487898064362
Hermosillo,Sonora,2025,11,23.92873750915193,-102.79065067666329
Zapopan,Jalisco,2025,11,20.51625332669359,-103.47892789720862
Zapopan,Jalisco,2025,9,20.440434509687382,-103.36487701480898
León De Los Aldama,Guanajuato,2025,11,21.061696083158246,-101.13914522846972
Juárez,Chihuahua,2025,11,23.240924224974766,-102.63108636043023
Ecatepec De Morelos,México,2025,10,19.65749698075404,-99.69316528386685
Ecatepec De Morelos,México,2025,11,18.92985064367977,-99.40822906186624
Gustavo A. Madero,Ciudad de México,2025,10,19.919486936600517,-99.5965167971094
Chilapa De Álvarez,Guerrero,2025,8,23.87224476929666,-102.74756305565597
Cuautitlán Izcalli,México,2025,9,19.05401568153417,-99.44235041411544
Puerto Vallarta,Jalisco,2025,8,20.165022117123605,-102.9541931623128
Cuauhtémoc,Zacatecas,2025,11,23.915461428454837,-102.48832255788433
Benito Juárez,Ciudad de México,2025,9,19.639457343847617,-99.10108651473469
Guadalajara,Jalisco,2025,10,20.888507168040988,-103.74222798866023
Guadalupe,Nuevo León,2025,11,25.863470346685943,-100.04878763317654
Tianguistenco,México,2025,12,18.92934465173409,-99.62308273354498
Coyotepec,México,2025,9,19.21376572854427,-99.91322949636526
Degollado,Jalisco,2025,9,20.275369059525133,-103.58015676905062
Azcapotzalco,Ciudad de México,2025,9,19.795703425875594,-99.25591583689538
Durango,Durango,2025,12,23.723298126827558,-102.97992880222228
Venustiano Carranza,Michoacán,2025,9,19.39739802485265,-101.88472083441683
Puebla,Puebla,2025,10,23.163558350286024,-102.78855199300345
Trinidad Zaachila,Oaxaca,2025,12,23.410982321715665,-102.67250264782209
Tepic,Nayarit,2025,11,23.425183322026747,-102.88023786818074
San Pedro Garza García,Nuevo León,2025,11,25.82180617833806,-99.60567271926011
Heroica Ciudad De Huajuapan De León,Oaxaca,2025,10,23.737557471355213,-102.40640754644595
Matamoros,Tamaulipas,2025,8,23.98721274257633,-102.32089768085551
León De Los Aldama,Guanajuato,2025,8,20.991214925161948,-100.96822876139267
La Paz,Baja California Sur,2025,10,23.219594245938303,-102.50155780107094
San Luis Potosí,San Luis Potosí,2025,11,23.813244787222995,-102.91307971191257
Ecatepec De Morelos,México,2025,9,19.616085048616895,-99.61859345818145
Cuautitlán Izcalli,México,2025,9,19.416577197569495,-99.56885888197911
Torreón,Coahuila De Zaragoza,2025,10,23.87096717995456,-102.25456052581568
Juárez,Nuevo León,2025,12,25.585995596364388,-100.06454045377032
Jitotol,Chiapas,2025,11,23.622732829381995,-102.87241969720444
Orizaba,Veracruz,2025,8,23.52754101835855,-102.71622409420128
Zapopan,Jalisco,2025,12,20.184919126744095,-103.48631770360137
